RNASeq_R1	RNASeq_R2	fastq
20210610T1400_CBASS_US_MoteOff_Past_1_39_420_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_1_39_420_RNASeq_R2	R337
20210610T1400_CBASS_US_MoteOff_Past_2_39_420_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_2_39_420_RNASeq_R2	R338
20210610T1400_CBASS_US_MoteOff_Past_3_39_420_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_3_39_420_RNASeq_R2	R339
20210610T1400_CBASS_US_MoteOff_Past_4_39_420_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_4_39_420_RNASeq_R2	R340
20210610T1400_CBASS_US_MoteOff_Past_5_39_420_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_5_39_420_RNASeq_R2	R341
20210610T1400_CBASS_US_MoteOff_Past_1_30_750_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_1_30_750_RNASeq_R2	R342
20210610T1400_CBASS_US_MoteOff_Past_2_30_750_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_2_30_750_RNASeq_R2	R343
20210610T1400_CBASS_US_MoteOff_Past_3_30_750_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_3_30_750_RNASeq_R2	R344
20210610T1400_CBASS_US_MoteOff_Past_4_30_750_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_4_30_750_RNASeq_R2	R345
20210610T1400_CBASS_US_MoteOff_Past_5_30_750_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_5_30_750_RNASeq_R2	R346r
20210610T1400_CBASS_US_MoteOff_Past_1_34_750_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_1_34_750_RNASeq_R2	R347r
20210610T1400_CBASS_US_MoteOff_Past_2_34_750_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_2_34_750_RNASeq_R2	R348r
20210610T1400_CBASS_US_MoteOff_Past_3_34_750_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_3_34_750_RNASeq_R2	R349
20210610T1400_CBASS_US_MoteOff_Past_4_34_750_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_4_34_750_RNASeq_R2	R350
20210610T1400_CBASS_US_MoteOff_Past_5_34_750_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_5_34_750_RNASeq_R2	R351r
20210610T1400_CBASS_US_MoteOff_Past_1_37_750_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_1_37_750_RNASeq_R2	R352
20210610T1400_CBASS_US_MoteOff_Past_2_37_750_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_2_37_750_RNASeq_R2	R353
20210610T1400_CBASS_US_MoteOff_Past_3_37_750_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_3_37_750_RNASeq_R2	R354
20210610T1400_CBASS_US_MoteOff_Past_4_37_750_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_4_37_750_RNASeq_R2	R355
20210610T1400_CBASS_US_MoteOff_Past_5_37_750_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_5_37_750_RNASeq_R2	R356
20210610T1400_CBASS_US_MoteOff_Past_1_39_750_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_1_39_750_RNASeq_R2	R357
20210610T1400_CBASS_US_MoteOff_Past_2_39_750_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_2_39_750_RNASeq_R2	R358
20210610T1400_CBASS_US_MoteOff_Past_3_39_750_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_3_39_750_RNASeq_R2	R359
20210610T1400_CBASS_US_MoteOff_Past_4_39_750_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_4_39_750_RNASeq_R2	R360
20210610T1400_CBASS_US_MoteOff_Past_5_39_750_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_5_39_750_RNASeq_R2	R361
20210610T1400_CBASS_US_MoteOff_Past_1_30_1140_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_1_30_1140_RNASeq_R2	R362
20210610T1400_CBASS_US_MoteOff_Past_2_30_1140_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_2_30_1140_RNASeq_R2	R363r
20210610T1400_CBASS_US_MoteOff_Past_3_30_1140_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_3_30_1140_RNASeq_R2	R364
20210610T1400_CBASS_US_MoteOff_Past_4_30_1140_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_4_30_1140_RNASeq_R2	R365
20210610T1400_CBASS_US_MoteOff_Past_5_30_1140_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_5_30_1140_RNASeq_R2	R366
20210610T1400_CBASS_US_MoteOff_Past_1_34_1140_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_1_34_1140_RNASeq_R2	R367r
20210610T1400_CBASS_US_MoteOff_Past_2_34_1140_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_2_34_1140_RNASeq_R2	R368
20210610T1400_CBASS_US_MoteOff_Past_3_34_1140_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_3_34_1140_RNASeq_R2	R369
20210610T1400_CBASS_US_MoteOff_Past_4_34_1140_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_4_34_1140_RNASeq_R2	R370
20210610T1400_CBASS_US_MoteOff_Past_5_34_1140_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_5_34_1140_RNASeq_R2	R371
20210610T1400_CBASS_US_MoteOff_Past_1_37_1140_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_1_37_1140_RNASeq_R2	R372r
20210610T1400_CBASS_US_MoteOff_Past_2_37_1140_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_2_37_1140_RNASeq_R2	R373
20210610T1400_CBASS_US_MoteOff_Past_3_37_1140_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_3_37_1140_RNASeq_R2	R374
20210610T1400_CBASS_US_MoteOff_Past_4_37_1140_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_4_37_1140_RNASeq_R2	R375
20210610T1400_CBASS_US_MoteOff_Past_5_37_1140_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_5_37_1140_RNASeq_R2	R376
20210610T1400_CBASS_US_MoteOff_Past_1_39_1140_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_1_39_1140_RNASeq_R2	R377
20210610T1400_CBASS_US_MoteOff_Past_2_39_1140_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_2_39_1140_RNASeq_R2	R378
20210610T1400_CBASS_US_MoteOff_Past_3_39_1140_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_3_39_1140_RNASeq_R2	R379
20210610T1400_CBASS_US_MoteOff_Past_4_39_1140_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_4_39_1140_RNASeq_R2	R380
20210610T1400_CBASS_US_MoteOff_Past_5_39_1140_RNASeq_R1	20210610T1400_CBASS_US_MoteOff_Past_5_39_1140_RNASeq_R2	R381
20210611T1400_CBASS_US_MoteOffN_Acer_7_only_seq_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_7_only_seq_RNASeq_R2	R382
20210611T1400_CBASS_US_MoteOffN_Acer_31_only_seq_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_31_only_seq_RNASeq_R2	R383
20210611T1400_CBASS_US_MoteOffN_Acer_34_only_seq_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_34_only_seq_RNASeq_R2	R384
20210611T1400_CBASS_US_MoteOffN_Acer_41_only_seq_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_41_only_seq_RNASeq_R2	R385
20210611T1400_CBASS_US_MoteOffN_Acer_48_only_seq_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_48_only_seq_RNASeq_R2	R386
20210611T1400_CBASS_US_MoteOffN_Acer_50_only_seq_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_50_only_seq_RNASeq_R2	R387
20210611T1400_CBASS_US_MoteOffN_Acer_62_only_seq_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_62_only_seq_RNASeq_R2	R388
20210611T1400_CBASS_US_MoteOffN_Acer_CM5_only_seq_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_CM5_only_seq_RNASeq_R2	R389
20210611T1400_CBASS_US_MoteOffN_Acer_7_T0_0_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_7_T0_0_RNASeq_R2	R390
20210611T1400_CBASS_US_MoteOffN_Acer_31_T0_0_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_31_T0_0_RNASeq_R2	R391
20210611T1400_CBASS_US_MoteOffN_Acer_34_T0_0_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_34_T0_0_RNASeq_R2	R392
20210611T1400_CBASS_US_MoteOffN_Acer_41_T0_0_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_41_T0_0_RNASeq_R2	R393
20210611T1400_CBASS_US_MoteOffN_Acer_48_T0_0_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_48_T0_0_RNASeq_R2	R394
20210611T1400_CBASS_US_MoteOffN_Acer_50_T0_0_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_50_T0_0_RNASeq_R2	R395
20210611T1400_CBASS_US_MoteOffN_Acer_62_T0_0_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_62_T0_0_RNASeq_R2	R396
20210611T1400_CBASS_US_MoteOffN_Acer_CM5_T0_0_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_CM5_T0_0_RNASeq_R2	R397
20210611T1400_CBASS_US_MoteOffN_Acer_7_30_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_7_30_180_RNASeq_R2	R398
20210611T1400_CBASS_US_MoteOffN_Acer_31_30_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_31_30_180_RNASeq_R2	R399
20210611T1400_CBASS_US_MoteOffN_Acer_34_30_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_34_30_180_RNASeq_R2	R400
20210611T1400_CBASS_US_MoteOffN_Acer_41_30_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_41_30_180_RNASeq_R2	R401
20210611T1400_CBASS_US_MoteOffN_Acer_48_30_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_48_30_180_RNASeq_R2	R402
20210611T1400_CBASS_US_MoteOffN_Acer_50_30_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_50_30_180_RNASeq_R2	R403
20210611T1400_CBASS_US_MoteOffN_Acer_62_30_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_62_30_180_RNASeq_R2	R404
20210611T1400_CBASS_US_MoteOffN_Acer_CM5_30_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_CM5_30_180_RNASeq_R2	R405
20210611T1400_CBASS_US_MoteOffN_Acer_7_33_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_7_33_180_RNASeq_R2	R406
20210611T1400_CBASS_US_MoteOffN_Acer_31_33_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_31_33_180_RNASeq_R2	R407
20210611T1400_CBASS_US_MoteOffN_Acer_34_33_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_34_33_180_RNASeq_R2	R408
20210611T1400_CBASS_US_MoteOffN_Acer_41_33_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_41_33_180_RNASeq_R2	R409
20210611T1400_CBASS_US_MoteOffN_Acer_48_33_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_48_33_180_RNASeq_R2	R410
20210611T1400_CBASS_US_MoteOffN_Acer_50_33_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_50_33_180_RNASeq_R2	R411
20210611T1400_CBASS_US_MoteOffN_Acer_62_33_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_62_33_180_RNASeq_R2	R412
20210611T1400_CBASS_US_MoteOffN_Acer_CM5_33_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_CM5_33_180_RNASeq_R2	R413
20210611T1400_CBASS_US_MoteOffN_Acer_7_35_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_7_35_180_RNASeq_R2	R414
20210611T1400_CBASS_US_MoteOffN_Acer_31_35_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_31_35_180_RNASeq_R2	R415
20210611T1400_CBASS_US_MoteOffN_Acer_34_35_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_34_35_180_RNASeq_R2	R416
20210611T1400_CBASS_US_MoteOffN_Acer_41_35_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_41_35_180_RNASeq_R2	R417
20210611T1400_CBASS_US_MoteOffN_Acer_48_35_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_48_35_180_RNASeq_R2	R418
20210611T1400_CBASS_US_MoteOffN_Acer_50_35_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_50_35_180_RNASeq_R2	R419
20210611T1400_CBASS_US_MoteOffN_Acer_62_35_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_62_35_180_RNASeq_R2	R420
20210611T1400_CBASS_US_MoteOffN_Acer_CM5_35_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_CM5_35_180_RNASeq_R2	R421
20210611T1400_CBASS_US_MoteOffN_Acer_7_37_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_7_37_180_RNASeq_R2	R422
20210611T1400_CBASS_US_MoteOffN_Acer_31_37_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_31_37_180_RNASeq_R2	R423
20210611T1400_CBASS_US_MoteOffN_Acer_34_37_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_34_37_180_RNASeq_R2	R424
20210611T1400_CBASS_US_MoteOffN_Acer_41_37_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_41_37_180_RNASeq_R2	R425
20210611T1400_CBASS_US_MoteOffN_Acer_48_37_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_48_37_180_RNASeq_R2	R426
20210611T1400_CBASS_US_MoteOffN_Acer_50_37_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_50_37_180_RNASeq_R2	R427
20210611T1400_CBASS_US_MoteOffN_Acer_62_37_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_62_37_180_RNASeq_R2	R428
20210611T1400_CBASS_US_MoteOffN_Acer_CM5_37_180_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_CM5_37_180_RNASeq_R2	R429
20210611T1400_CBASS_US_MoteOffN_Acer_7_30_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_7_30_360_RNASeq_R2	R430
20210611T1400_CBASS_US_MoteOffN_Acer_31_30_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_31_30_360_RNASeq_R2	R431
20210611T1400_CBASS_US_MoteOffN_Acer_34_30_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_34_30_360_RNASeq_R2	R432
20210611T1400_CBASS_US_MoteOffN_Acer_41_30_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_41_30_360_RNASeq_R2	R433
20210611T1400_CBASS_US_MoteOffN_Acer_48_30_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_48_30_360_RNASeq_R2	R434
20210611T1400_CBASS_US_MoteOffN_Acer_50_30_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_50_30_360_RNASeq_R2	R435
20210611T1400_CBASS_US_MoteOffN_Acer_62_30_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_62_30_360_RNASeq_R2	R436
20210611T1400_CBASS_US_MoteOffN_Acer_CM5_30_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_CM5_30_360_RNASeq_R2	R437
20210611T1400_CBASS_US_MoteOffN_Acer_7_33_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_7_33_360_RNASeq_R2	R438
20210611T1400_CBASS_US_MoteOffN_Acer_31_33_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_31_33_360_RNASeq_R2	R439
20210611T1400_CBASS_US_MoteOffN_Acer_34_33_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_34_33_360_RNASeq_R2	R440
20210611T1400_CBASS_US_MoteOffN_Acer_41_33_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_41_33_360_RNASeq_R2	R441
20210611T1400_CBASS_US_MoteOffN_Acer_48_33_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_48_33_360_RNASeq_R2	R442
20210611T1400_CBASS_US_MoteOffN_Acer_50_33_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_50_33_360_RNASeq_R2	R443
20210611T1400_CBASS_US_MoteOffN_Acer_62_33_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_62_33_360_RNASeq_R2	R444
20210611T1400_CBASS_US_MoteOffN_Acer_CM5_33_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_CM5_33_360_RNASeq_R2	R445
20210611T1400_CBASS_US_MoteOffN_Acer_7_35_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_7_35_360_RNASeq_R2	R446
20210611T1400_CBASS_US_MoteOffN_Acer_31_35_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_31_35_360_RNASeq_R2	R447
20210611T1400_CBASS_US_MoteOffN_Acer_34_35_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_34_35_360_RNASeq_R2	R448
20210611T1400_CBASS_US_MoteOffN_Acer_41_35_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_41_35_360_RNASeq_R2	R449
20210611T1400_CBASS_US_MoteOffN_Acer_48_35_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_48_35_360_RNASeq_R2	R450
20210611T1400_CBASS_US_MoteOffN_Acer_50_35_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_50_35_360_RNASeq_R2	R451
20210611T1400_CBASS_US_MoteOffN_Acer_62_35_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_62_35_360_RNASeq_R2	R452
20210611T1400_CBASS_US_MoteOffN_Acer_CM5_35_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_CM5_35_360_RNASeq_R2	R453
20210611T1400_CBASS_US_MoteOffN_Acer_7_37_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_7_37_360_RNASeq_R2	R454
20210611T1400_CBASS_US_MoteOffN_Acer_31_37_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_31_37_360_RNASeq_R2	R455
20210611T1400_CBASS_US_MoteOffN_Acer_34_37_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_34_37_360_RNASeq_R2	R456
20210611T1400_CBASS_US_MoteOffN_Acer_41_37_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_41_37_360_RNASeq_R2	R457
20210611T1400_CBASS_US_MoteOffN_Acer_48_37_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_48_37_360_RNASeq_R2	R458
20210611T1400_CBASS_US_MoteOffN_Acer_50_37_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_50_37_360_RNASeq_R2	R459
20210611T1400_CBASS_US_MoteOffN_Acer_62_37_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_62_37_360_RNASeq_R2	R460
20210611T1400_CBASS_US_MoteOffN_Acer_CM5_37_360_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_CM5_37_360_RNASeq_R2	R461
20210611T1400_CBASS_US_MoteOffN_Acer_7_30_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_7_30_420_RNASeq_R2	R462
20210611T1400_CBASS_US_MoteOffN_Acer_31_30_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_31_30_420_RNASeq_R2	R463
20210611T1400_CBASS_US_MoteOffN_Acer_34_30_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_34_30_420_RNASeq_R2	R464
20210611T1400_CBASS_US_MoteOffN_Acer_41_30_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_41_30_420_RNASeq_R2	R465
20210611T1400_CBASS_US_MoteOffN_Acer_48_30_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_48_30_420_RNASeq_R2	R466
20210611T1400_CBASS_US_MoteOffN_Acer_50_30_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_50_30_420_RNASeq_R2	R467
20210611T1400_CBASS_US_MoteOffN_Acer_62_30_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_62_30_420_RNASeq_R2	R468
20210611T1400_CBASS_US_MoteOffN_Acer_CM5_30_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_CM5_30_420_RNASeq_R2	R469
20210611T1400_CBASS_US_MoteOffN_Acer_7_33_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_7_33_420_RNASeq_R2	R470
20210611T1400_CBASS_US_MoteOffN_Acer_31_33_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_31_33_420_RNASeq_R2	R471
20210611T1400_CBASS_US_MoteOffN_Acer_34_33_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_34_33_420_RNASeq_R2	R472
20210611T1400_CBASS_US_MoteOffN_Acer_41_33_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_41_33_420_RNASeq_R2	R473
20210611T1400_CBASS_US_MoteOffN_Acer_48_33_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_48_33_420_RNASeq_R2	R474
20210611T1400_CBASS_US_MoteOffN_Acer_50_33_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_50_33_420_RNASeq_R2	R475
20210611T1400_CBASS_US_MoteOffN_Acer_62_33_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_62_33_420_RNASeq_R2	R476
20210611T1400_CBASS_US_MoteOffN_Acer_CM5_33_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_CM5_33_420_RNASeq_R2	RE142
20210611T1400_CBASS_US_MoteOffN_Acer_7_35_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_7_35_420_RNASeq_R2	RE143
20210611T1400_CBASS_US_MoteOffN_Acer_31_35_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_31_35_420_RNASeq_R2	RE144
20210611T1400_CBASS_US_MoteOffN_Acer_34_35_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_34_35_420_RNASeq_R2	RE145
20210611T1400_CBASS_US_MoteOffN_Acer_41_35_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_41_35_420_RNASeq_R2	RE146
20210611T1400_CBASS_US_MoteOffN_Acer_48_35_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_48_35_420_RNASeq_R2	RE147
20210611T1400_CBASS_US_MoteOffN_Acer_50_35_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_50_35_420_RNASeq_R2	RE148
20210611T1400_CBASS_US_MoteOffN_Acer_62_35_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_62_35_420_RNASeq_R2	RE149
20210611T1400_CBASS_US_MoteOffN_Acer_CM5_35_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_CM5_35_420_RNASeq_R2	RE150
20210611T1400_CBASS_US_MoteOffN_Acer_7_37_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_7_37_420_RNASeq_R2	RE151
20210611T1400_CBASS_US_MoteOffN_Acer_31_37_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_31_37_420_RNASeq_R2	RE152
20210611T1400_CBASS_US_MoteOffN_Acer_34_37_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_34_37_420_RNASeq_R2	RE153
20210611T1400_CBASS_US_MoteOffN_Acer_41_37_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_41_37_420_RNASeq_R2	RE154
20210611T1400_CBASS_US_MoteOffN_Acer_48_37_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_48_37_420_RNASeq_R2	RE155
20210611T1400_CBASS_US_MoteOffN_Acer_50_37_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_50_37_420_RNASeq_R2	RE156
20210611T1400_CBASS_US_MoteOffN_Acer_62_37_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_62_37_420_RNASeq_R2	RE157
20210611T1400_CBASS_US_MoteOffN_Acer_CM5_37_420_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_CM5_37_420_RNASeq_R2	RE158
20210611T1400_CBASS_US_MoteOffN_Acer_7_30_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_7_30_750_RNASeq_R2	RE159
20210611T1400_CBASS_US_MoteOffN_Acer_31_30_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_31_30_750_RNASeq_R2	RE160
20210611T1400_CBASS_US_MoteOffN_Acer_34_30_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_34_30_750_RNASeq_R2	RE161
20210611T1400_CBASS_US_MoteOffN_Acer_41_30_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_41_30_750_RNASeq_R2	RE162
20210611T1400_CBASS_US_MoteOffN_Acer_48_30_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_48_30_750_RNASeq_R2	RE163
20210611T1400_CBASS_US_MoteOffN_Acer_50_30_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_50_30_750_RNASeq_R2	RE164
20210611T1400_CBASS_US_MoteOffN_Acer_62_30_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_62_30_750_RNASeq_R2	RE165
20210611T1400_CBASS_US_MoteOffN_Acer_CM5_30_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_CM5_30_750_RNASeq_R2	RE166
20210611T1400_CBASS_US_MoteOffN_Acer_7_33_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_7_33_750_RNASeq_R2	RE167
20210611T1400_CBASS_US_MoteOffN_Acer_31_33_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_31_33_750_RNASeq_R2	RE168
20210611T1400_CBASS_US_MoteOffN_Acer_34_33_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_34_33_750_RNASeq_R2	RE169
