Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
20210608T1400_CBASS_US_MoteIn_Past_6_39_180_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_6_39_180_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17082241.0	0.0	20-150	54.0	7.313147341032186	126.46221587671079	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_39_180_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_6_39_180_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17082241.0	0.0	20-150	54.0	8.873597140138596	126.43217309719492	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_39_360_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_6_39_360_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14069472.0	0.0	20-150	50.0	3.4937346166803365	146.338333307746	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
20210608T1400_CBASS_US_MoteIn_Past_6_39_360_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_6_39_360_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14069472.0	0.0	20-150	50.0	4.963615234116686	146.28162997161513	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
20210608T1400_CBASS_US_MoteIn_Past_6_39_420_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_6_39_420_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19811108.0	0.0	20-150	47.0	18.96820355868149	148.48051577932947	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
20210608T1400_CBASS_US_MoteIn_Past_6_39_420_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_6_39_420_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19811108.0	0.0	20-150	47.0	20.210077478359214	148.43748163908853	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
20210608T1400_CBASS_US_MoteIn_Past_6_39_750_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_6_39_750_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23317924.0	0.0	20-150	42.0	13.511474595422746	147.8924309042263	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_39_750_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_6_39_750_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23317924.0	0.0	20-150	42.0	14.365420439265208	147.82915897658813	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_T0_0_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_6_T0_0_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21063457.0	0.0	20-150	47.0	17.23317290643082	147.61840005655293	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_T0_0_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_6_T0_0_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21063457.0	0.0	20-150	47.0	18.392652667286118	147.56637042058196	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_only_seq_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_6_only_seq_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17546033.0	0.0	20-150	49.0	5.763435446831167	146.31778710321586	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_6_only_seq_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_6_only_seq_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17546033.0	0.0	20-150	49.0	6.709860562061393	146.26131126049972	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_30_1140_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_7_30_1140_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26907759.0	0.0	20-150	49.0	11.322536825896961	148.7070301915518	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_30_1140_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_7_30_1140_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26907759.0	0.0	20-150	49.0	12.940214514968396	148.64720703794023	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_30_180_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_7_30_180_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13431668.0	0.0	20-150	50.0	2.6997654650662315	134.56986384714094	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_30_180_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_7_30_180_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13431668.0	0.0	20-150	50.0	3.294618791814293	134.53543193592932	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_30_360_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_7_30_360_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18110822.0	0.0	20-150	49.0	9.39458382100903	148.60716901750789	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_30_360_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_7_30_360_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18110822.0	0.0	20-150	49.0	10.258948449554119	148.5499882335545	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_30_420_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_7_30_420_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17296668.0	0.0	20-150	49.0	7.650251330145251	148.72096591089104	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_30_420_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_7_30_420_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17296668.0	0.0	20-150	49.0	8.942153787960248	148.66609470679555	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_30_750_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_7_30_750_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17836826.0	0.0	20-150	48.0	16.101744319547873	148.51552585645	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_30_750_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_7_30_750_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17836826.0	0.0	20-150	49.0	17.259846926446386	148.4699411206904	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_34_1140_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_7_34_1140_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24002433.0	0.0	20-150	48.0	15.157361279045848	148.66340424739442	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_34_1140_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_7_34_1140_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24002433.0	0.0	20-150	48.0	16.684396967336856	148.60589724383357	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_34_180_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_7_34_180_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19533164.0	0.0	20-150	49.0	6.748289233802655	142.1958604862991	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_34_180_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_7_34_180_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19533164.0	0.0	20-150	49.0	7.371925579046755	142.15374380719888	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_34_360_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_7_34_360_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15766267.0	0.0	20-150	52.0	2.8124310975605673	148.4043424483424	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_34_360_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_7_34_360_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15766267.0	0.0	20-150	52.0	3.6206101327944467	148.36111211360304	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_34_420_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_7_34_420_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16079906.0	0.0	20-150	50.0	5.66969814836609	148.5292854945794	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_34_420_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_7_34_420_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16079906.0	0.0	20-150	50.0	6.6406437516102965	148.49124727470422	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_34_750_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_7_34_750_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19974518.0	0.0	20-150	50.0	6.0974350607974594	148.55427179769745	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_34_750_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_7_34_750_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19974518.0	0.0	20-150	50.0	7.091228183919426	148.51459985167102	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_37_1140_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_7_37_1140_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16017086.0	0.0	20-150	48.0	22.30002858965103	148.1217905678973	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_37_1140_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_7_37_1140_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16017086.0	0.0	20-150	48.0	23.62369229641588	148.15035980951842	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_37_180_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_7_37_180_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21750559.0	0.0	20-150	49.0	2.667747822984927	125.42233976607221	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_37_180_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_7_37_180_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21750559.0	0.0	20-150	49.0	3.314056170738068	125.37990329351994	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_37_360_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_7_37_360_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16516775.0	0.0	20-150	45.0	17.594948250859193	148.08065206434065	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
20210608T1400_CBASS_US_MoteIn_Past_7_37_360_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_7_37_360_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16516775.0	0.0	20-150	45.0	18.205328821008777	148.05787116431628	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
20210608T1400_CBASS_US_MoteIn_Past_7_37_420_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_7_37_420_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23302467.0	0.0	20-150	45.0	18.356073817261368	148.20785108289178	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
20210608T1400_CBASS_US_MoteIn_Past_7_37_420_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_7_37_420_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23302467.0	0.0	20-150	45.0	19.63386216853207	148.1660074875334	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
20210608T1400_CBASS_US_MoteIn_Past_7_37_750_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_7_37_750_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15390886.0	0.0	20-150	47.0	27.954392797867406	148.56995198327112	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_37_750_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_7_37_750_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15390886.0	0.0	20-150	47.0	28.859209116326678	148.5372942142512	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_39_1140_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_7_39_1140_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28145563.0	0.0	20-150	53.0	2.1109822077431115	105.20857660584015	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
20210608T1400_CBASS_US_MoteIn_Past_7_39_1140_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_7_39_1140_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28145563.0	0.0	20-150	53.0	3.357799800596317	105.20669304074677	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
20210608T1400_CBASS_US_MoteIn_Past_7_39_180_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_7_39_180_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11896040.0	0.0	20-150	48.0	4.362757621892288	115.23338682452312	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
20210608T1400_CBASS_US_MoteIn_Past_7_39_180_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_7_39_180_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11896040.0	0.0	20-150	48.0	4.903124406833668	115.20372115426646	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
20210608T1400_CBASS_US_MoteIn_Past_7_39_360_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_7_39_360_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5430835.0	0.0	20-150	46.0	10.210597185499813	143.7192626916487	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_39_360_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_7_39_360_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5430835.0	0.0	20-150	46.0	11.269540817003936	143.28827169302696	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_39_420_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_7_39_420_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17587328.0	0.0	20-150	43.0	7.097198721276751	148.2128941360507	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
20210608T1400_CBASS_US_MoteIn_Past_7_39_420_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_7_39_420_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17587328.0	0.0	20-150	43.0	8.180113984899455	148.16532119034795	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
20210608T1400_CBASS_US_MoteIn_Past_7_39_750_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_7_39_750_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25161034.0	0.0	20-150	42.0	8.165046200297976	147.93386881477127	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_39_750_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_7_39_750_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25161034.0	0.0	20-150	43.0	9.888713341017313	147.8530747186304	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_T0_0_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_7_T0_0_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19146686.0	0.0	20-150	48.0	12.12473184214921	142.8009472239739	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_T0_0_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_7_T0_0_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19146686.0	0.0	20-150	48.0	13.101579605240596	142.75964237362015	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_only_seq_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_7_only_seq_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23311521.0	0.0	20-150	48.0	10.503262301533207	148.11794785934387	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_7_only_seq_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_7_only_seq_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23311521.0	0.0	20-150	47.0	11.313900513643246	148.06706670920357	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_30_1140_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_8_30_1140_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21596646.0	0.0	20-150	47.0	20.915841359976227	148.6561845297645	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_30_1140_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_8_30_1140_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21596646.0	0.0	20-150	47.0	22.33349985960209	148.60320732209993	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_30_180_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_8_30_180_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18852011.0	0.0	20-150	49.0	6.285821779327073	144.87787578736294	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_30_180_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_8_30_180_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18852011.0	0.0	20-150	49.0	7.065112778649637	144.8257237384383	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_30_360_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_8_30_360_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17715541.0	0.0	20-150	49.0	3.902184504339168	148.54218575656256	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_30_360_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_8_30_360_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17715541.0	0.0	20-150	49.0	4.6314034023021895	148.49408330233888	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_30_420_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_8_30_420_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15811703.0	0.0	20-150	48.0	8.472173005874396	148.33849491101623	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_30_420_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_8_30_420_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15811703.0	0.0	20-150	48.0	9.519576779268334	148.3055761292759	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_30_750_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_8_30_750_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18014808.0	0.0	20-150	50.0	2.500669561438986	148.36562437967697	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_30_750_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_8_30_750_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18014808.0	0.0	20-150	50.0	4.329752784522361	148.31495761708922	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_34_1140_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_8_34_1140_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34002540.0	0.0	20-150	50.0	1.7573743173789034	148.61317278062168	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_34_1140_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_8_34_1140_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34002540.0	0.0	20-150	50.0	3.1549328870662827	148.556359054353	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_34_180_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_8_34_180_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15774195.0	0.0	20-150	49.0	2.721643557667407	108.05491234259497	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
20210608T1400_CBASS_US_MoteIn_Past_8_34_180_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_8_34_180_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15774195.0	0.0	20-150	49.0	3.051602383329679	108.0288506640117	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
20210608T1400_CBASS_US_MoteIn_Past_8_34_360_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_8_34_360_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16403807.0	0.0	20-150	50.0	3.496742810758958	148.52100149678668	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_34_360_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_8_34_360_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16403807.0	0.0	20-150	50.0	4.619509548115068	148.45636290405025	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_34_420_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_8_34_420_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15969281.0	0.0	20-150	49.0	9.915554109959004	148.03058653673887	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_34_420_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_8_34_420_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15969281.0	0.0	20-150	49.0	11.074546099240745	147.99110179099486	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_34_750_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_8_34_750_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23554245.0	0.0	20-150	50.0	4.551438354883576	148.67295402590912	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_34_750_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_8_34_750_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23554245.0	0.0	20-150	50.0	5.667704553545781	148.63276708720656	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
